letón;español;ejemplo_letón;ejemplo_español
dot;dar;Es dodu māsai dāvanu.;Le doy un regalo a mi hermana.
pirkt;comprar;Es pērku maizi.;Compro pan.
saukt;llamar;Mani sauc Andris.;Me llamo Andris.
sākt;empezar;Mēs sākam darbu astoņos.;Empezamos el trabajo a las ocho.
strādāt;trabajar;Es strādāju birojā.;Trabajo en una oficina.
dzīvot;vivir;Mēs dzīvojam Latvijā.;Vivimos en Letonia.
ceļot;viajar;Man patīk ceļot.;Me gusta viajar.
dejot;bailar;Mēs dejojam katru sestdienu.;Bailamos cada sábado.
dziedāt;cantar;Viņa skaisti dzied.;Ella canta bonito.
spēlēt;jugar;Bērni spēlē parkā.;Los niños juegan en el parque.
staigāt;pasear;Mēs staigājam pa pilsētu.;Paseamos por la ciudad.
veikals;tienda;Es eju uz veikalu.;Voy a la tienda.
birojs;oficina;Mans birojs ir centrā.;Mi oficina está en el centro.
skola;escuela;Skola sākas septiņos.;La escuela empieza a las siete.
universitāte;universidad;Es studēju universitātē.;Estudio en la universidad.
darbs;trabajo;Mans darbs ir interesants.;Mi trabajo es interesante.
mašīna;coche;Man nav mašīnas.;No tengo coche.
nauda;dinero;Man nav naudas.;No tengo dinero.
laiks;tiempo;Man nav laika.;No tengo tiempo.
