letón;español;ejemplo_letón;ejemplo_español
vējš;viento;Pūš stiprs vējš.;Sopla un viento fuerte.
saule;sol;Saule spīd skaisti.;El sol brilla bonito.
mākoņi;nubes (pl);Mākoņi sedz debesis.;Las nubes cubren el cielo.
negaiss;tormenta;Rīt būs negaiss.;Mañana habrá tormenta.
grādi;grados (pl);Šodien ir 20 grādi.;Hoy hace 20 grados.
temperatūra;temperatura;Temperatūra krīt.;La temperatura baja.
līst;llueve;Šodien līst.;Hoy llueve.
snieg;nieva;Ziemā bieži snieg.;En invierno nieva a menudo.
un;y;Es lasu un rakstu.;Leo y escribo.
bet;pero;Es gribu, bet nevaru.;Quiero, pero no puedo.
vai;o;Tēja vai kafija?;¿Té o café?
jo;porque;Es nemācos, jo esmu noguris.;No estudio porque estoy cansado.
tāpēc;por eso;Bija lietus, tāpēc palicām mājās.;Llovió, por eso nos quedamos en casa.
ja;si (condicional);Ja būs silts, iesim pludmalē.;Si hace calor, iremos a la playa.
kad;cuándo;Kad biju mazs, dzīvoju Spānijā.;Cuando era pequeño, vivía en España.
kamēr;mientras;Kamēr tu lasi, es vārīšu.;Mientras tú lees, yo cocino.
arī;también;Es arī gribu nākt.;Yo también quiero venir.
tomēr;sin embargo;Esmu noguris, tomēr strādāju.;Estoy cansado, sin embargo trabajo.
lai gan;aunque;Lai gan līst, es eju.;Aunque llueve, voy.
piemēram;por ejemplo;Patīk daudzi sporti, piemēram peldēšana.;Me gustan muchos deportes, por ejemplo natación.
beidzot;finalmente;Beidzot ir piektdiena.;Finalmente es viernes.
vispirms;primero;Vispirms paēd, tad strādā.;Primero come, luego trabaja.
viesmīlis;camarero;Viesmīlis bija ļoti laipnis.;El camarero fue muy amable.
ēdienkarte;carta / menú;Lūdzu, ēdienkarti!;¡La carta, por favor!
pasūtīt;pedir;Es gribētu pasūtīt zupu.;Quisiera pedir sopa.
rēķins;cuenta;Rēķinu, lūdzu!;¡La cuenta, por favor!
dzeramnaudu;propina;Es atstāju dzeramnaudu.;Dejo propina.
dienas piedāvājums;menú del día;Dienas piedāvājums maksā 10 eiro.;El menú del día cuesta 10 euros.
veģetārietis;vegetariano;Es esmu veģetārietis.;Soy vegetariano.
deserts;postre;Vai jūs gribat desertu?;¿Quiere postre?
reģistratūra;recepción;Reģistratūrā saņemšu atslēgu.;Recibiré la llave en la recepción.
divvietīga istaba;habitación doble;Es vēlos divvietīgu istabu.;Quisiera una habitación doble.
atslēga;llave;Šī ir mana atslēga.;Esta es mi llave.
brokastis iekļautas;desayuno incluido;Brokastis ir iekļautas cenā.;El desayuno está incluido.
rezervācija;reserva;Man ir rezervācija.;Tengo una reserva.
izrakstīšanās;check-out;Izrakstīšanās ir divpadsmitos.;El check-out es a las 12.
vārds;nombre;Mans vārds ir Pedro.;Mi nombre es Pedro.
uzvārds;apellido;Mans uzvārds ir García.;Mi apellido es García.
dzimšanas datums;fecha de nacimiento;Mans dzimšanas datums ir 12.11.1985.;Mi fecha de nacimiento es 12.11.1985.
dzimšanas vieta;lugar de nacimiento;Dzimšanas vieta — Madride.;Lugar de nacimiento — Madrid.
dzimums;sexo (formulario);Dzimums: vīrietis.;Sexo: hombre.
pilsonība;nacionalidad;Spānijas pilsonība.;Nacionalidad española.
personas kods;código personal letón;Man nav personas koda.;No tengo código personal.
adrese;dirección;Mana adrese ir Brīvības 100.;Mi dirección es Brīvības 100.
pasta indekss;código postal;Pasta indekss — LV-1010.;Código postal — LV-1010.
ģimenes stāvoklis;estado civil;Ģimenes stāvoklis — precējies.;Estado civil — casado.
profesija;profesión;Profesija — inženieris.;Profesión — ingeniero.
darba vieta;lugar de trabajo;Darba vieta — SIA Latvenergo.;Lugar de trabajo — SIA Latvenergo.
izglītība;educación;Izglītība — augstskola.;Educación — universidad.
dzimtā valoda;lengua materna;Dzimtā valoda — spāņu.;Lengua materna — español.
paraksts;firma;Paraksts ir obligāts.;La firma es obligatoria.
datums;fecha;Datums: 25.05.2026.;Fecha: 25.05.2026.
