letón;español;ejemplo_letón;ejemplo_español
nekur;en ningún lado;Es nekur neeju šovakar.;Hoy no voy a ningún lado.
vairs ne;ya no;Es vairs nedzīvoju Madridē.;Ya no vivo en Madrid.
vēl ne;aún no;Es vēl neesmu bijis Latvijā.;Aún no he estado en Letonia.
kas;qué / quién;Kas tas ir?;¿Qué es eso?
ko;qué / a quién;Ko tu dari?;¿Qué haces?
kam;a quién / para quién;Kam tu raksti?;¿A quién escribes?
kur;dónde;Kur tu dzīvo?;¿Dónde vives?
no kurienes;de dónde;No kurienes tu esi?;¿De dónde eres?
uz kurieni;hacia dónde;Uz kurieni tu ej?;¿A dónde vas?
kad;cuándo;Kad tu nāksi?;¿Cuándo vendrás?
cikos;a qué hora;Cikos sākas seanss?;¿A qué hora empieza la sesión?
kāpēc;por qué;Kāpēc tu mācies latviski?;¿Por qué estudias letón?
cik;cuánto;Cik tas maksā?;¿Cuánto cuesta?
kāds;qué tipo (m);Kāds laiks šodien?;¿Qué tiempo hace hoy?
kāda;qué tipo (f);Kāda ir tava māsa?;¿Cómo es tu hermana?
laimīgs;feliz (m);Es esmu laimīgs.;Soy/estoy feliz.
laimīga;feliz (f);Anna ir laimīga.;Anna está feliz.
skumjš;triste (m);Mans draugs ir skumjš.;Mi amigo está triste.
noguris;cansado (m);Es esmu noguris.;Estoy cansado.
nogurusi;cansada (f);Viņa ir nogurusi.;Ella está cansada.
dusmīgs;enojado;Skolotājs ir dusmīgs.;El profesor está enojado.
priecīgs;alegre;Bērni ir priecīgi.;Los niños están alegres.
mierīgs;tranquilo;Es jūtos mierīgs.;Me siento tranquilo.
gatavs;listo;Vakariņas ir gatavas.;La cena está lista.
mans;mi (m);Mans dēls ir astoņus gadus vecs.;Mi hijo tiene ocho años.
mana;mi (f);Mana māte ir skolotāja.;Mi madre es profesora.
tavs;tu (m);Vai tavs brālis ir mājās?;¿Tu hermano está en casa?
tava;tu (f);Kā sauc tavu māsu?;¿Cómo se llama tu hermana?
viņa;su (de él, invariable);Viņa māte dzīvo Daugavpilī.;Su madre (de él) vive en Daugavpils.
viņas;su (de ella, invariable);Viņas vīrs ir polis.;Su esposo (de ella) es polaco.
mūsu;nuestro (invariable);Mūsu māja ir liela.;Nuestra casa es grande.
jūsu;vuestro / su formal;Jūsu jautājums ir interesants.;Su pregunta es interesante.
viņu;su (de ellos, invariable);Viņu bērni mācās skolā.;Sus hijos van a la escuela.
savs;su propio (refl.);Es mīlu savu ģimeni.;Amo a mi familia.
šis;este (m);Šis ir mans brālis.;Este es mi hermano.
šī;esta (f);Šī kleita ir skaista.;Este vestido es bonito.
tas;ese / aquel (m);Tas ir labs jautājums.;Esa es una buena pregunta.
tā;esa (f);Tā ir mana māja.;Esa es mi casa.
veikals;tienda;Es eju uz veikalu.;Voy a la tienda.
supermārkets;supermercado;Mūsu supermārkets ir tuvu.;Nuestro supermercado está cerca.
iepirkties;ir de compras (refl.);Sestdienās es iepērkos.;Los sábados voy de compras.
iepirkumi;compras;Es nesu iepirkumus mājās.;Llevo las compras a casa.
maisiņš;bolsa;Vai jums vajag maisiņu?;¿Necesitan una bolsa?
kase;caja;Es maksāju pie kases.;Pago en la caja.
kasieris;cajero;Kasieris ir laipnis.;El cajero es amable.
maksāt;pagar;Cik tas maksā?;¿Cuánto cuesta?
cena;precio;Cena ir laba.;El precio es bueno.
eiro;euro;Tas maksā piecus eiro.;Eso cuesta cinco euros.
centi;céntimos;Divdesmit centi.;Veinte céntimos.
kvīts;recibo;Lūdzu, dodiet man kvīti.;Por favor, deme el recibo.
maksas karte;tarjeta de pago;Vai jūs pieņemat karti?;¿Aceptan tarjeta?
skaidra nauda;efectivo;Es maksāju skaidrā naudā.;Pago en efectivo.
atlaide;descuento;Vai ir atlaide?;¿Hay descuento?
kleita;vestido;Es pērku jaunu kleitu.;Compro un vestido nuevo.
krekls;camisa;Šis krekls ir pārāk mazs.;Esta camisa es demasiado pequeña.
bikses;pantalones (pl);Manas bikses ir melnas.;Mis pantalones son negros.
kurpes;zapatos (pl);Manas kurpes ir veca.;Mis zapatos son viejos.
mētelis;abrigo;Ziemā es valkāju mēteli.;En invierno uso abrigo.
izmērs;talla;Kāds ir jūsu izmērs?;¿Cuál es su talla?
mērīt;probarse / medir;Vai es varu pamērīt?;¿Puedo probármelo?
iela;calle;Es dzīvoju Brīvības ielā.;Vivo en la calle Brīvības.
pa kreisi;a la izquierda;Nogriezieties pa kreisi.;Gire a la izquierda.
pa labi;a la derecha;Veikals ir pa labi.;La tienda está a la derecha.
taisni;recto;Ejiet taisni.;Sigan recto.
nogriezties;girar (refl.);Nogriezties otrajā krustojumā.;Gira en el segundo cruce.
krustojums;cruce;Pie krustojuma ir luksofors.;Junto al cruce hay un semáforo.
luksofors;semáforo;Apstājieties pie luksofora.;Deténganse en el semáforo.
stūris;esquina;Aptieka ir uz stūra.;La farmacia está en la esquina.
blakus;al lado de (+dat);Banka ir blakus pastam.;El banco está al lado del correo.
pretī;enfrente (+dat);Restorāns ir pretī muzejam.;El restaurante está enfrente del museo.
aiz;detrás (+gen);Aiz mājas ir dārzs.;Detrás de la casa hay un jardín.
priekšā;delante;Bērns sēd priekšā.;El niño está sentado delante.
starp;entre (+dat);Starp draugiem ir uzticība.;Entre amigos hay confianza.
tālu;lejos;Centrs ir tālu no šejienes.;El centro está lejos de aquí.
tuvu;cerca;Mana skola ir tuvu.;Mi escuela está cerca.
ārsts;médico;Es eju pie ārsta.;Voy al médico.
slimnīca;hospital;Slimnīca ir centrā.;El hospital está en el centro.
poliklīnika;centro de salud;Poliklīnikā ir rinda.;En el centro de salud hay cola.
aptieka;farmacia;Aptieka strādā līdz 22:00.;La farmacia trabaja hasta las 22:00.
recepte;receta;Ārsts uzrakstīja recepti.;El médico escribió una receta.
zāles;medicinas (pl);Es dzeru zāles trīs reizes dienā.;Tomo medicinas tres veces al día.
sāpes;dolor (pl);Man ir sāpes vēderā.;Tengo dolor en el estómago.
drudzis;fiebre;Man ir drudzis.;Tengo fiebre.
iesnas;resfriado (pl);Bērnam ir iesnas.;El niño tiene resfriado.
klepus;tos;Es klepoju visu nakti.;Tosí toda la noche.
slims;enfermo;Es esmu slims.;Estoy enfermo.
vesels;sano;Tagad es esmu vesels.;Ahora estoy sano.
mācīties;estudiar (refl.);Es mācos katru dienu.;Estudio cada día.
klausīties;escuchar (refl.);Es klausos radio.;Escucho la radio.
skatīties;mirar (refl.);Mēs skatāmies filmu.;Vemos una película.
atpūsties;descansar (refl.);Vakaros es atpūšos.;Por las noches descanso.
pamosties;despertarse (refl.);Es pamostos septiņos.;Me despierto a las siete.
celties;levantarse (refl.);Mēs ceļamies agri.;Nos levantamos temprano.
mazgāties;lavarse (refl.);Bērns mazgājas vannā.;El niño se lava en el baño.
ģērbties;vestirse (refl.);Es ģērbjos ātri.;Me visto rápido.
iepazīties;conocerse (refl.);Mēs iepazināmies Rīgā.;Nos conocimos en Riga.
smieties;reírse (refl.);Bērni smejas skaļi.;Los niños se ríen fuerte.
justies;sentirse (refl.);Kā tu jūties?;¿Cómo te sientes?
