letón;español;ejemplo_letón;ejemplo_español
veiksmi;suerte;Veiksmi eksāmenā!;¡Suerte en el examen!
laime;felicidad / suerte;Laime tev arī!;¡Suerte para ti también!
gaidīt rezultātu;esperar el resultado;Es gaidu eksāmena rezultātu.;Espero el resultado del examen.
attēlā es redzu;en la imagen veo;Attēlā es redzu cilvēkus.;En la imagen veo personas.
priekšplānā;en primer plano;Priekšplānā ir bērns.;En primer plano hay un niño.
fonā;al fondo;Fonā redzams mežs.;Al fondo se ve un bosque.
izskatās;parece (3sg);Viņš izskatās noguris.;Parece cansado.
man liekas;me parece;Man liekas, ka līs.;Me parece que va a llover.
piemēram;por ejemplo;Patīk sports, piemēram peldēšana.;Me gusta el deporte, por ejemplo natación.
proti;es decir;Es esmu inženieris, proti, projektu vadītājs.;Soy ingeniero, es decir, gerente de proyectos.
beidzot;finalmente;Beidzot ir piektdiena!;¡Finalmente es viernes!
vispirms;primero;Vispirms es ēdīšu, tad strādāšu.;Primero comeré, luego trabajaré.
patiesi;de verdad;Es patiesi novērtēju.;Lo aprecio de verdad.
godīgi sakot;honestamente;Godīgi sakot, es nezinu.;Honestamente, no sé.
manuprāt;en mi opinión;Manuprāt, tas ir interesanti.;En mi opinión, eso es interesante.
es domāju, ka;yo pienso que;Es domāju, ka līs.;Pienso que va a llover.
es ceru, ka;espero que;Es ceru, ka tev iet labi.;Espero que te vaya bien.
varbūt;quizás;Varbūt rīt es atnākšu.;Quizás venga mañana.
protams;por supuesto;Protams, es palīdzēšu.;Por supuesto, ayudaré.
nu;bueno / pues (interjección);Nu, ko mēs darīsim?;¿Bueno, qué haremos?
Dievs;Dios;Dievs, svētī Latviju!;Dios, bendice a Letonia.
svētīt;bendecir;Dievs svētī visus.;Dios bendice a todos.
tēvija;patria;Mana tēvija ir Latvija.;Mi patria es Letonia.
zied;florece (3sg);Pavasarī puķes zied.;En primavera las flores florecen.
dzied;canta (3sg);Putns dzied.;El pájaro canta.
ziedēt;florecer;Tulpes ziedēs aprīlī.;Los tulipanes florecerán en abril.
laime;felicidad;Es vēlu tev laimi.;Te deseo felicidad.
diet;bailar (poético);Latvjieši diet svētkos.;Los letones bailan en las fiestas.
piedzimt;nacer;Es piedzimu 1990. gadā.;Nací en 1990.
uzaugt;crecer;Es uzaugu Spānijā.;Crecí en España.
pārcelties;mudarse (refl.);Es pārcēlos uz Rīgu.;Me mudé a Riga.
strādāt par;trabajar como;Es strādāju par skolotāju.;Trabajo como profesor.
precēties;casarse (refl.);Mēs precējāmies pirms 5 gadiem.;Nos casamos hace 5 años.
ģimene;familia;Mana ģimene ir liela.;Mi familia es grande.
nākotnes plāni;planes futuros;Manos plānos ir doties uz B1.;Mis planes son ir hacia el B1.
mērķis;objetivo / meta;Mans mērķis ir nokārtot eksāmenu.;Mi meta es aprobar el examen.
sasniegt;alcanzar;Es gribu sasniegt B2 līmeni.;Quiero alcanzar el nivel B2.
turpināt;continuar;Es turpināšu mācīties.;Continuaré estudiando.
integrēties;integrarse;Es integrējos Latvijas sabiedrībā.;Me integro en la sociedad letona.
sabiedrība;sociedad;Latviska sabiedrība ir atvērta.;La sociedad letona es abierta.
kultūra;cultura;Latviešu kultūra ir bagāta.;La cultura letona es rica.
tradīcijas;tradiciones (pl);Latvijas tradīcijas ir senas.;Las tradiciones letonas son antiguas.
Jāņu vakars;noche de San Juan;Jāņu vakarā mēs lecām pāri ugunskuram.;En la noche de San Juan saltamos sobre la hoguera.
Ziemassvētki;Navidad;Ziemassvētkos pulcējamies ģimenē.;En Navidad nos reunimos en familia.
Lieldienas;Pascua (pl);Lieldienās dārzam jābūt zaļam.;En Pascua el jardín debe estar verde.
